5.1741	5121	37
9.3937	4194	60
10.4606	6924	15
11.6426	4705	29
10.9329	4306	98
3.5542	1252	126
2.2553	6957	135
11.0625	5624	35
7.6267	7818	68
9.5868	7802	8
11.4690	2842	109
7.7194	4702	30
6.4913	7583	49
3.5648	7870	9
4.6064	4152	101
5.9911	4687	42
3.2700	387	129
2.9998	3566	111
2.5319	7503	14
2.8757	6026	83
9.0084	5500	26
9.5972	7668	67
8.8463	3704	110
7.9147	4974	40
10.4550	6005	21
5.6414	1098	127
4.5138	2786	74
1.1479	1836	117
1.0946	4615	62
3.3434	6785	52
5.0425	6421	16
5.2312	5959	84
2.2037	5266	39
4.8947	5926	23
7.6515	6001	22
1.2251	5486	44
11.5029	6939	10
5.9869	6717	51
2.7082	234	131
7.4661	5388	97
1.4124	6427	20
10.5647	5212	27
2.3923	6422	53
5.7550	5190	36
3.9647	3997	103
3.4141	2920	106
4.2873	5990	45
2.7440	6499	54
1.1230	1041	123
3.8452	3721	108
3.1589	1634	121
4.5875	6287	19
5.8862	6215	55
1.0118	2135	116
1.4940	5014	94
5.4048	5989	17
11.2132	7091	134
10.6467	3727	100
9.5450	1637	122
11.6112	5749	86
4.2296	5886	87
12.3000	8235	4
7.3348	1125	125
6.2856	5239	96
5.5496	6864	11
3.8889	7656	6
1.6579	2853	75
4.3377	7431	58
6.3869	5279	28
4.8090	2791	73
1.9207	6788	12
13.2261	6293	18
0.5268	811	128
1.4337	5563	24
1.1026	4325	41
1.4647	4469	61
8.4183	7402	70
10.8737	8291	47
1.4875	1761	118
11.5563	7445	5
3.1600	383	130
