72	120	1	
 
0.1027	-0.1074	35.4381	
0.1763	-0.1065	32.8851	
0.2019	-0.1177	29.0031	
0.2220	-0.1441	24.7837	
0.2553	-0.1418	20.6345	
0.2615	-0.0944	16.5557	
0.2147	-0.0928	12.4750	
0.2003	-0.1520	8.7404	
0.2227	-0.1546	5.8221	
0.2131	-0.0787	4.2117	
0.1630	-0.0558	3.6148	
0.2215	0.0171	3.5513	
0.2184	0.2151	3.6880	
0.1569	0.3544	3.9527	
0.1095	0.4094	4.5029	
0.0885	0.4271	5.5947	
0.0996	0.4508	7.6211	
0.1006	0.4829	10.9441	
0.1019	0.4966	15.1258	
0.1070	0.4999	19.4623	
0.1145	0.5132	23.3277	
0.0902	0.4792	26.0862	
0.1199	0.4158	27.1763	
0.1473	0.3787	26.2500	
0.1811	0.3303	23.3133	
0.2352	0.3047	18.7390	
0.2690	0.3139	13.3218	
0.2817	0.3435	8.3077	
0.2485	0.3307	5.3758	
0.2595	0.2989	4.2019	
0.2504	0.2856	3.9075	
0.2538	0.2492	3.8925	
0.2761	0.2355	3.9676	
0.2780	0.2409	4.3213	
0.2722	0.2476	5.4940	
0.2408	0.2303	8.1270	
0.2276	0.1775	11.9029	
0.2306	0.1218	16.3877	
0.2460	0.0775	21.0792	
0.2581	0.0513	24.9862	
0.2580	0.0210	26.7461	
0.2669	-0.0042	25.2685	
0.2585	-0.0371	21.6921	
0.2726	-0.0897	17.3055	
0.3061	-0.1098	13.0666	
0.3231	-0.0973	9.1665	
0.3225	-0.0901	5.9718	
0.3233	-0.0876	4.0657	
0.3158	-0.0897	3.3964	
0.3105	-0.1104	3.5113	
0.3087	-0.1710	3.9608	
0.3503	-0.2147	4.2940	
0.3456	-0.2601	4.4348	
0.3622	-0.3940	4.4700	
0.4613	-0.5089	4.4718	
0.5759	-0.4658	4.4384	
0.5762	-0.3929	4.3135	
0.6025	-0.3457	4.0552	
0.6005	-0.2614	3.7295	
0.5907	-0.2143	3.5431	
0.6097	-0.1421	3.5501	
0.5376	-0.1219	3.7548	
0.5077	-0.1826	4.0994	
0.4529	-0.2419	4.3802	
0.4143	-0.3852	4.4171	
0.5181	-0.5351	4.2505	
0.7292	-0.4214	4.0518	
0.7416	-0.1410	4.0435	
0.6018	-0.0468	4.1837	
0.4786	-0.1894	4.2846	
0.4923	-0.3462	4.1278	
0.5390	-0.3848	3.8911	
0.1524	-0.0338	37.2248	
0.2062	-0.0569	34.5672	
0.2277	-0.0948	30.4894	
0.2416	-0.1174	26.1231	
0.2600	-0.1221	21.9160	
0.2583	-0.1147	17.8216	
0.2225	-0.1235	13.6566	
0.2065	-0.1480	9.8541	
0.2130	-0.1481	6.7479	
0.1986	-0.1085	4.7209	
0.1602	-0.0516	3.7958	
0.1887	0.0448	3.5709	
0.1808	0.1828	3.6594	
0.1355	0.2999	3.9454	
0.0983	0.3752	4.5918	
0.0807	0.4221	5.7666	
0.0857	0.4569	7.6908	
0.0861	0.4840	10.6468	
0.0874	0.4998	14.4746	
0.0924	0.5062	18.6517	
0.0999	0.5048	22.5569	
0.0901	0.4819	25.5210	
0.1144	0.4443	26.9306	
0.1400	0.4093	26.3806	
0.1716	0.3743	23.8820	
0.2161	0.3487	19.8031	
0.2464	0.3372	14.9773	
0.2595	0.3332	10.5148	
0.2423	0.3196	7.8229	
0.2508	0.2999	6.7231	
0.2485	0.2828	6.4235	
0.2540	0.2620	6.3714	
0.2703	0.2476	6.3874	
0.2725	0.2390	6.6237	
0.2671	0.2290	7.5524	
0.2452	0.2080	9.7930	
0.2352	0.1724	13.2608	
0.2374	0.1310	17.6591	
0.2483	0.0912	22.5594	
0.2573	0.0573	26.7881	
0.2586	0.0254	28.7561	
0.2652	-0.0040	27.4742	
0.2624	-0.0343	23.9394	
0.2753	-0.0659	19.4784	
0.3017	-0.0845	15.3370	
0.3178	-0.0891	11.4163	
0.3211	-0.0900	8.0181	
0.3234	-0.0909	5.7215	
0.3205	-0.0961	4.9168	
0.3199	-0.1140	5.1621	
0.3244	-0.1511	5.9594	
0.3576	-0.1963	6.5323	
0.3661	-0.2541	6.7880	
0.3919	-0.3361	6.8495	
0.4719	-0.4020	6.8105	
0.5590	-0.4084	6.6670	
0.5702	-0.3796	6.3508	
0.5893	-0.3335	5.8262	
0.5890	-0.2673	5.2225	
0.5845	-0.2097	4.9267	
0.5966	-0.1687	4.9735	
0.5519	-0.1729	5.3612	
0.5284	-0.2250	5.9969	
0.4882	-0.2886	6.4593	
0.4631	-0.3526	6.4523	
0.5368	-0.3776	6.0855	
0.6819	-0.3096	5.6267	
0.6985	-0.2047	5.4506	
0.6066	-0.1783	5.4342	
0.5164	-0.2441	5.3187	
0.5081	-0.3160	4.7602	
0.5157	-0.3382	4.1913	
0.2519	0.0004	40.3388	
0.2704	-0.0312	37.4826	
0.2785	-0.0822	32.9768	
0.2774	-0.1118	28.2622	
0.2696	-0.1251	23.8412	
0.2513	-0.1319	19.5201	
0.2247	-0.1447	15.3941	
0.2061	-0.1616	11.5726	
0.1959	-0.1624	8.2142	
0.1804	-0.1314	5.5378	
0.1599	-0.0657	4.0603	
0.1535	0.0376	3.5683	
0.1391	0.1619	3.5445	
0.1130	0.2719	3.7299	
0.0885	0.3546	4.1611	
0.0729	0.4144	5.0470	
0.0663	0.4562	6.7445	
0.0604	0.4846	9.2927	
0.0560	0.5030	12.6789	
0.0558	0.5125	16.6164	
0.0599	0.5108	20.5873	
0.0646	0.4936	23.9403	
0.0793	0.4656	25.9796	
0.0983	0.4359	26.1778	
0.1230	0.4064	24.5239	
0.1536	0.3796	21.3334	
0.1808	0.3574	17.5855	
0.1995	0.3394	14.2334	
0.2089	0.3220	12.2442	
0.2221	0.3051	11.4437	
0.2333	0.2888	11.2009	
0.2446	0.2710	11.1023	
0.2549	0.2540	11.0245	
0.2575	0.2377	11.0599	
0.2535	0.2203	11.5314	
0.2443	0.1985	12.9468	
0.2387	0.1697	15.6982	
0.2384	0.1348	19.7144	
0.2413	0.0974	24.6311	
0.2438	0.0616	29.3980	
0.2451	0.0288	31.7715	
0.2487	-0.0004	30.8491	
0.2540	-0.0270	27.4646	
0.2675	-0.0503	23.0131	
0.2876	-0.0673	18.9103	
0.3052	-0.0779	14.9492	
0.3162	-0.0844	11.3900	
0.3228	-0.0883	8.8584	
0.3270	-0.0933	8.0194	
0.3333	-0.1065	8.5146	
0.3454	-0.1333	9.8369	
0.3684	-0.1731	10.8028	
0.3929	-0.2258	11.2543	
0.4293	-0.2881	11.3504	
0.4837	-0.3417	11.2122	
0.5361	-0.3675	10.8361	
0.5610	-0.3627	10.1553	
0.5743	-0.3269	9.1957	
0.5776	-0.2663	8.2933	
0.5787	-0.2067	7.8993	
0.5815	-0.1747	8.0429	
0.5704	-0.1900	8.7486	
0.5594	-0.2463	9.8879	
0.5446	-0.3072	10.4702	
0.5408	-0.3366	10.2896	
0.5742	-0.3163	9.5736	
0.6300	-0.2597	8.8047	
0.6463	-0.2163	8.3449	
0.6155	-0.2289	7.9019	
0.5701	-0.2879	7.0782	
0.5357	-0.3469	5.6194	
0.4851	-0.3695	4.5527	
0.3577	0.0033	43.7001	
0.3266	-0.0304	40.6782	
0.3107	-0.0878	35.7878	
0.2915	-0.1263	30.6022	
0.2644	-0.1482	25.7606	
0.2312	-0.1596	21.3865	
0.2007	-0.1686	17.3089	
0.1835	-0.1768	13.3685	
0.1785	-0.1738	9.4857	
0.1762	-0.1445	6.1582	
0.1715	-0.0785	4.2630	
0.1651	0.0239	3.5746	
0.1510	0.1423	3.4611	
